German,Arabic,Pronunciation,Article,Plural,Type,Level,Tags,Status,Mastery,Quality Issues
lecker,لذيذ,لِكر,,,word,,,new,0,
geschmeckt,تذوق,غهشمِكت,,,word,,,new,0,
vermissen,يفتقد,فرميززن,,,word,,,new,0,
das Heimweh,الحنين إلى الوطن,داس هآيمفِه,das,,noun,,,new,0,
das Heimatland,الوطن,داس هآيماتلاند,das,,noun,,,new,0,
das Zuhause,بيت,داس تسوهآوزه,das,,noun,,,new,0,
verstehen,يفهم,فرزتههن,,,word,,,new,0,
hier sein,كن هنا,هير زآين,,,phrase,,,new,0,
hierherkommen,تعال الى هنا,هيرهركوممن,,,word,,,new,0,
zurückgehen,عُد,تسوروكغههن,,,word,,,new,0,
fliegen,سافر,فليغن,,,word,,,new,0,
nach Zürich fliegen,السفر جواً إلى زيورخ,ناخ تسوريش فليغن,,,phrase,,,new,0,
bleiben,يبقى,بلآيبن,,,word,,,new,0,
verlassen,يترك,فرلاززن,,,word,,,new,0,
fremd,أجنبي,فرِمد,,,word,,,new,0,
froh,مسرور,فروه,,,word,,,new,0,
leicht,سهل / خفيف,لآيشت,,,word,,,new,0,
das Glück,سعادة,داس غلوك,das,,noun,,,new,0,
die Hilfe,المساعدة,دي هيلفه,die,,noun,,,new,0,
die Situation,الوضع,دي زيتواتسيون,die,,noun,,,new,0,
schlimm,رهيب,شليمم,,,word,,,new,0,
studieren,يذاكر,شتوديرن,,,word,,,new,0,
brauchen,يحتاج,برآوشن,,,word,,,new,0,
etwas sagen,قل شيئا,ِتفاز زاغن,,,phrase,,,new,0,
etwas packen,احزم بعض الأغراض,ِتفاز باكن,,,phrase,,,new,0,
sterben,الموت,شتربن,,,word,,,new,0,
einen Anruf bekommen,تلقي مكالمة,آينن انروف بهكوممن,,,phrase,,,new,0,
Hilfe brauchen,أحتاج للمساعدة,هيلفه برآوشن,,,phrase,,,new,0,
